Individual,Species,Treatment,Tray,NoduleNumber,TotalNoduleWeight,DateHarvested,Notes,Soils,ARAs
9,BA,Control,1,0,0,6/19/2024,,soils collected,
10,BA,Control,1,0,0,6/19/2024,,,
11,BA,Control,1,DEAD,DEAD,6/19/2024,no ANPP (pic),,
12,BA,Control,1,0,0,6/19/2024,,soils collected,ARA
21,BA,Control,2,0,0,6/19/2024,,,
22,BA,Control,2,0,0,6/19/2024,,soils collected,
23,BA,Control,2,0,0,6/19/2024,,,
24,BA,Control,2,0,0,6/19/2024,,,
33,BA,Control,2,DEAD,DEAD,6/20/2024,no ANPP (pic),,
34,BA,Control,2,1,0.0363,6/20/2024,Calling it 1 nodule but it's super complex.,soils collected,ARA
35,BA,Control,2,0,0,6/20/2024,,,
36,BA,Control,2,0,0,6/20/2024,,,
45,BA,Control,3,0,0,6/20/2024,,,
46,BA,Control,3,5,0.019,6/20/2024,,soils collected,ARA
47,BA,Control,3,0,0,6/20/2024,,soils collected,
48,BA,Control,3,0,0,6/20/2024,,,
57,BA,Control,3,0,0,6/20/2024,,,
58,BA,Control,3,0,0,6/20/2024,,soils collected,
59,BA,Control,3,0,0,6/20/2024,,soils collected,
60,BA,Control,3,0,0,6/20/2024,,,
69,BA,Control,4,0,0,6/22/2024,,,
70,BA,Control,4,0,0,6/22/2024,,soils collected,
71,BA,Control,4,0,0,6/22/2024,,,
72,BA,Control,4,0,0,6/22/2024,,soils collected,
85,BA,Control,5,0,0,6/23/2024,,soils collected,
86,BA,Control,5,0,0,6/23/2024,,,
87,BA,Control,5,0,0,6/23/2024,,soils collected,
88,BA,Control,5,0,0,6/23/2024,,,
97,BA,Control,5,0,0,6/23/2024,,,
98,BA,Control,5,0,0,6/23/2024,,soils collected,
99,BA,Control,5,0,0,6/23/2024,,,
100,BA,Control,5,0,0,6/23/2024,,soils collected,
105,BA,Control,6,0,0,6/23/2024,,,
106,BA,Control,6,0,0,6/23/2024,,soils collected,
107,BA,Control,6,4,0.0159,6/23/2024,,,ARA
108,BA,Control,6,0,0,6/23/2024,,soils collected,
117,BA,Control,6,0,0,6/23/2024,,,
118,BA,Control,6,0,0,6/23/2024,,soils collected,
119,BA,Control,6,0,0,6/23/2024,,soils collected,
120,BA,Control,6,0,0,6/23/2024,,,
129,BA,Control,7,0,0,6/23/2024,,soils collected,
130,BA,Control,7,0,0,6/23/2024,,,
131,BA,Control,7,0,0,6/23/2024,"premature, just cotyledons",,
132,BA,Control,7,0,0,6/23/2024,,soils collected,
141,BA,Control,8,0,0,6/23/2024,,,
142,BA,Control,8,0,0,6/23/2024,,soils collected,
143,BA,Control,8,DEAD,DEAD,6/23/2024,,,
144,BA,Control,8,0,0,6/23/2024,,soils collected,
153,BA,Control,8,0,0,6/23/2024,,soils collected,
154,BA,Control,8,0,0,6/23/2024,,,
155,BA,Control,8,0,0,6/23/2024,,soils collected,
156,BA,Control,8,0,0,6/23/2024,,soils collected,
165,BA,Control,9,0,0,6/23/2024,,soils collected,
166,BA,Control,9,0,0,6/23/2024,,soils collected,ARA
167,BA,Control,9,0,0,6/23/2024,,,
168,BA,Control,9,0,0,6/23/2024,,soils collected,
177,BA,Control,9,0,0,6/23/2024,,soils collected,
178,BA,Control,9,DEAD,DEAD,6/23/2024,,,
179,BA,Control,9,0,0,6/23/2024,,soils collected,
180,BA,Control,9,0,0,6/23/2024,,soils collected,
189,BA,Control,10,0,0,6/23/2024,,,
190,BA,Control,10,0,0,6/23/2024,,,
191,BA,Control,10,0,0,6/23/2024,"premature, just cotyledons",soils collected,
192,BA,Control,10,0,0,6/23/2024,,soils collected,
205,BA,Control,11,0,0,6/23/2024,,,
206,BA,Control,11,0,0,6/23/2024,,,
207,BA,Control,11,2,0.0139,6/23/2024,,soils collected,
208,BA,Control,11,0,0,6/23/2024,,soils collected,
217,BA,Control,11,16,0.0579,6/23/2024,,soils collected,
218,BA,Control,11,0,0,6/23/2024,,soils collected,
219,BA,Control,11,0,0,6/23/2024,,,
220,BA,Control,11,0,0,6/23/2024,,,
225,BA,Control,12,0,0,6/23/2024,,,
226,BA,Control,12,0,0,6/23/2024,,soils collected,
227,BA,Control,12,0,0,6/23/2024,,soils collected,
228,BA,Control,12,0,0,6/23/2024,,,
237,BA,Control,12,0,0,6/23/2024,,,
238,BA,Control,12,0,0,6/23/2024,,soils collected,
239,BA,Control,12,0,0,6/23/2024,,,
240,BA,Control,12,5,0.0198,6/23/2024,,,
249,BA,Control,13,0,0,6/23/2024,,soils collected,
250,BA,Control,13,0,0,6/23/2024,,soils collected,
251,BA,Control,13,0,0,6/23/2024,,,
252,BA,Control,13,0,0,6/23/2024,,soils collected,
261,BA,Control,14,8,0.0516,6/23/2024,,soils collected,
262,BA,Control,14,DEAD,DEAD,6/23/2024,,,
263,BA,Control,14,0,0,6/23/2024,,soils collected,
264,BA,Control,14,0,0,6/23/2024,,,
273,BA,Control,14,0,0,6/23/2024,,,
274,BA,Control,14,0,0,6/23/2024,,soils collected,
275,BA,Control,14,0,0,6/23/2024,,soils collected,
276,BA,Control,14,0,0,6/23/2024,"premature, just cotyledons",soils collected,
285,BA,Control,15,0,0,6/23/2024,,soils collected,
286,BA,Control,15,0,0,6/23/2024,,,
287,BA,Control,15,0,0,6/23/2024,,,
288,BA,Control,15,0,0,6/23/2024,,,
297,BA,Control,15,0,0,6/23/2024,,soils collected,
298,BA,Control,15,0,0,6/23/2024,,,
299,BA,Control,15,8,0.0239,6/23/2024,,soils collected,ARA
300,BA,Control,15,12,0.0134,6/23/2024,,soils collected,ARA
309,BA,S1,16,8,0.01,6/19/2024,,soils collected,
310,BA,S1,16,8,0.016,6/19/2024,,soils collected,
311,BA,S1,16,3,0.0098,6/19/2024,,,
312,BA,S1,16,3,0.0066,6/20/2024,nodules all black (pic),,
321,BA,S1,17,14,0.0286,6/19/2024,,,
322,BA,S1,17,27,0.0203,6/20/2024,,soils collected,
323,BA,S1,17,17,0.0506,6/19/2024,,,
324,BA,S1,17,5,0.0202,6/19/2024,,,
333,BA,S1,17,24,0.0614,6/20/2024,,soils collected,
334,BA,S1,17,11,0.0106,6/19/2024,,,
335,BA,S1,17,4,0.018,6/19/2024,,,
336,BA,S1,17,10,0.0333,6/20/2024,,soils collected,
345,BA,S1,18,17,0.0616,6/20/2024,air sample hard to push into vial,soils collected,ARA
346,BA,S1,18,28,0.0294,6/20/2024,,soils collected,
347,BA,S1,18,18,0.0283,6/20/2024,,,
348,BA,S1,18,4,0.0256,6/20/2024,,soils collected,
357,BA,S1,18,12,0.0152,6/20/2024,,soils collected,
358,BA,S1,18,5,0.0096,6/20/2024,,,
359,BA,S1,18,9,0.0208,6/20/2024,,soils collected,
360,BA,S1,18,7,0.0214,6/20/2024,,,
369,BA,S1,19,6,0.0227,6/20/2024,,soils collected,
370,BA,S1,19,5,0.0275,6/20/2024,,,
371,BA,S1,19,7,0.0156,6/20/2024,,soils collected,
372,BA,S1,19,10,0.0153,6/20/2024,,,
381,BA,S1,20,14,0.0298,6/20/2024,,soils collected,
382,BA,S1,20,19,0.02,6/20/2024,,,
383,BA,S1,20,10,0.0103,6/20/2024,,soils collected,
384,BA,S1,20,6,0.0049,6/20/2024,,,
393,BA,S1,20,14,0.0351,6/20/2024,,soils collected,
394,BA,S1,20,11,0.0583,6/20/2024,,,
395,BA,S1,20,5,0.0251,6/20/2024,,soils collected,
396,BA,S1,20,4,0.0028,6/20/2024,"small, almost dead",,
405,BA,S1,21,30,0.0279,6/21/2024,,soils collected,
406,BA,S1,21,24,0.0276,6/21/2024,,,
407,BA,S1,21,25,0.0229,6/21/2024,,soils collected,
408,BA,S1,21,5,0.0156,6/21/2024,,,
417,BA,S1,21,4,0.009,6/21/2024,,soils collected,
418,BA,S1,21,10,0.0131,6/21/2024,,,
419,BA,S1,21,8,0.0084,6/21/2024,,soils collected,
420,BA,S1,21,6,0.009,6/21/2024,,,
429,BA,S1,22,8,0.0157,6/21/2024,,soils collected,
430,BA,S1,22,7,0.0226,6/21/2024,,soils collected,
431,BA,S1,22,15,0.0125,6/21/2024,,,
