Species,Treatment,Tray_Num,Individual,ANPP,BNPP,Notes,,,,,,
BA,Control,,9,0.0574,0.0798,,,,,,,
BA,Control,,10,0.1031,0.3133,,,,,,,
BA,Control,,11,,,DEAD,,,,,,
BA,Control,,12,0.0523,0.0906,,,,,,,
BA,Control,,21,0.0506,0.0734,,,,,,,
BA,Control,,22,0.0730,0.4017,,,,,,,
BA,Control,,23,0.0649,0.4345,,,,,,,
BA,Control,,24,0.0479,0.0647,,,,,,,
BA,Control,,33,,,DEAD,,,,,,
BA,Control,,34,0.0564,0.0873,,,,,,,
BA,Control,,35,0.0519,0.4955,,,,,,,
BA,Control,,36,0.0471,0.3496,,,,,,,
BA,Control,,45,0.0461,0.3263,,,,,,,
BA,Control,,46,0.0645,0.0885,,,,,,,
BA,Control,,47,0.0432,0.2888,,,,,,,
BA,Control,,48,0.0482,0.2491,,,,,,,
BA,Control,,57,0.0676,0.1205,,,,,,,
BA,Control,,58,0.0460,0.2033,,,,,,,
BA,Control,,59,0.0443,0.2847,,,,,,,
BA,Control,,60,0.0612,0.0374,,,,,,,
BA,Control,,69,0.0634,0.4666,,,,,,,
BA,Control,,70,0.0499,0.3333,,,,,,,
BA,Control,,71,0.0787,0.2663,,,,,,,
BA,Control,,72,0.0404,0.0844,,,,,,,
BA,Control,,85,0.0918,0.256,,,,,,,
BA,Control,,86,0.0713,0.5838,,,,,,,
BA,Control,,87,0.0278,0.0499,,,,,,,
BA,Control,,88,0.0599,0.1711,,,,,,,
BA,Control,,97,0.0258,0.0909,,,,,,,
BA,Control,,98,0.0302,0.1368,,,,,,,
BA,Control,,99,0.0454,0.3845,,,,,,,
BA,Control,,100,0.0216,0.035,,,,,,,
BA,Control,,105,0.0645,0.2114,,,,,,,
BA,Control,,106,0.0087,0.0215,,,,,,,
BA,Control,,107,0.0493,0.1916,,,,,,,
BA,Control,,108,0.0912,0.9868,,,,,,,
BA,Control,,117,0.0605,0.5614,,,,,,,
BA,Control,,118,0.0458,0.3173,,,,,,,
BA,Control,,119,0.0484,0.1477,,,,,,,
BA,Control,,120,0.0542,0.1578,,,,,,,
BA,Control,,129,0.0668,0.1223,,,,,,,
BA,Control,,130,0.0830,0.3142,,,,,,,
BA,Control,,131,0.0139,0.0133,,,,,,,
BA,Control,,132,0.0842,0.1396,,,,,,,
BA,Control,,141,0.0802,0.293,,,,,,,
BA,Control,,142,0.0190,0.0478,,,,,,,
BA,Control,,143,,,MISSING?,,,,,,
BA,Control,,144,0.0639,0.0864,,,,,,,
BA,Control,,153,0.0714,0.3733,,,,,,,
BA,Control,,154,0.0994,0.162,,,,,,,
BA,Control,,155,0.0696,0.2799,,,,,,,
BA,Control,,156,0.0710,0.2322,,,,,,,
BA,Control,,165,0.0554,0.183,,,,,,,
BA,Control,,166,0.0495,0.1318,,,,,,,
BA,Control,,167,0.0762,0.1867,,,,,,,
BA,Control,,168,0.0546,0.154,,,,,,,
BA,Control,,177,0.0438,0.2361,,,,,,,
BA,Control,,178,,,DEAD,,,,,,
BA,Control,,179,0.0643,0.2421,,,,,,,
BA,Control,,180,0.0535,0.1651,,,,,,,
BA,Control,,189,0.0454,0.0514,,,,,,,
BA,Control,,190,0.0207,0.0182,,,,,,,
BA,Control,,191,0.0135,0.0128,,,,,,,
BA,Control,,192,0.0783,0.1851,,,,,,,
BA,Control,,205,0.0572,0.1805,,,,,,,
BA,Control,,206,0.0743,0.1439,,,,,,,
BA,Control,,207,0.0687,0.0996,,,,,,,
BA,Control,,208,0.0531,0.0945,,,,,,,
BA,Control,,217,0.1196,0.1243,,,,,,,
BA,Control,,218,0.0295,0.014,,,,,,,
BA,Control,,219,0.0613,0.4055,,,,,,,
BA,Control,,220,0.0640,0.3579,,,,,,,
BA,Control,,225,0.0565,0.1903,,,,,,,
BA,Control,,226,0.0616,0.1775,,,,,,,
BA,Control,,227,0.0846,0.3094,,,,,,,
BA,Control,,228,0.0764,0.3556,,,,,,,
BA,Control,,237,0.0474,0.1865,,,,,,,
BA,Control,,238,0.0648,0.886,,,,,,,
BA,Control,,239,0.0582,0.5201,,,,,,,
BA,Control,,240,0.0458,0.0305,,,,,,,
BA,Control,,249,0.0554,0.2365,,,,,,,
BA,Control,,250,0.0608,0.1161,,,,,,,
BA,Control,,251,0.0483,0.1555,,,,,,,
BA,Control,,252,0.0530,0.2711,,,,,,,
BA,Control,,261,0.1171,0.2118,,,,,,,
BA,Control,,262,,,DEAD,,,,,,
BA,Control,,263,0.0493,0.0764,,,,,,,
BA,Control,,264,0.0135,0.0334,,,,,,,
BA,Control,,273,0.0641,0.1677,,,,,,,
BA,Control,,274,0.0659,0.2046,,,,,,,
BA,Control,,275,0.0925,0.3652,,,,,,,
BA,Control,,276,0.0119,0.0095,,,,,,,
BA,Control,,285,0.0718,0.0969,,,,,,,
BA,Control,,286,0.0449,0.1998,,,,,,,
BA,Control,,287,0.0635,0.0675,,,,,,,
BA,Control,,288,0.0989,0.1789,,,,,,,
BA,Control,,297,0.0592,0.105,,,,,,,
BA,Control,,298,0.0546,0.1026,,,,,,,
BA,Control,,299,0.0601,0.1128,,,,,,,
BA,Control,,300,0.0855,0.1235,,,,,,,
BA,S1,,309,0.0482,0.0178,,,,,,,
BA,S1,,310,0.0985,0.0472,,,,,,,
BA,S1,,311,0.0469,0.0379,,,,,,,
BA,S1,,312,0.0210,0.0193,,,,,,,
BA,S1,,321,0.1054,0.0524,,,,,,,
BA,S1,,322,0.0667,0.045,,,,,,,
BA,S1,,323,0.1596,0.0519,,,,,,,
BA,S1,,324,0.1348,0.0698,,,,,,,
BA,S1,,333,0.4250,0.2783,,,,,,,
BA,S1,,334,0.0745,0.032,,,,,,,
BA,S1,,335,0.0747,0.0578,,,,,,,
BA,S1,,336,0.1432,0.1453,,,,,,,
BA,S1,,345,0.3451,0.2641,,,,,,,
BA,S1,,346,0.1476,0.2022,,,,,,,
BA,S1,,347,0.0708,0.056,,,,,,,
BA,S1,,348,0.0898,0.0497,,,,,,,
BA,S1,,357,0.0810,0.0539,,,,,,,
BA,S1,,358,0.0363,0.0332,,,,,,,
BA,S1,,359,0.1018,0.0846,,,,,,,
BA,S1,,360,0.1502,0.1331,,,,,,,
BA,S1,,369,0.2108,0.1159,,,,,,,
BA,S1,,370,0.1890,0.0863,,,,,,,
BA,S1,,371,0.0938,0.0484,,,,,,,
BA,S1,,372,0.0862,0.0414,,,,,,,
BA,S1,,381,0.1073,0.0528,,,,,,,
BA,S1,,382,0.1177,0.0606,,,,,,,
BA,S1,,383,0.0763,1.0547,,,,,,,
BA,S1,,384,0.0351,0.0233,,,,,,,
BA,S1,,393,0.286,0.2893,,,,,,,
BA,S1,,394,0.2325,0.2376,,,,,,,
BA,S1,,395,0.2349,0.0991,,,,,,,
BA,S1,,396,0.0145,0.0042,,,,,,,
BA,S1,,405,0.1284,0.1146,,,,,,,
BA,S1,,406,0.0892,0.0407,,,,,,,
BA,S1,,407,0.1165,0.0864,,,,,,,
BA,S1,,408,0.0938,0.1451,,,,,,,
BA,S1,,417,0.1643,0.2144,,,,,,,
BA,S1,,418,0.0749,0.0473,,,,,,,
BA,S1,,419,0.0301,0.0218,,,,,,,
BA,S1,,420,0.0526,0.0356,,,,,,,
BA,S1,,429,0.1059,0.0491,,,,,,,
BA,S1,,430,0.1019,0.0827,,,,,,,
BA,S1,,431,0.0715,0.07,,,,,,,
BA,S1,,432,0.2179,0.0793,,,,,,,
BA,S1,,441,0.0520,0.575,,,,,,,
BA,S1,,442,0.1640,0.1144,,,,,,,
BA,S1,,443,0.1054,0.0863,,,,,,,
BA,S1,,444,0.2461,0.1415,,,,,,,
BA,S1,,453,0.0670,0.0637,,,,,,,
BA,S1,,454,0.0542,0.0491,,,,,,,
BA,S1,,455,0.0929,0.0716,,,,,,,
BA,S1,,456,0.0744,0.0547,,,,,,,
BA,S1,,465,0.1263,0.0684,,,,,,,
BA,S1,,466,0.0242,0.0301,,,,,,,
BA,S1,,467,0.0322,0.0438,,,,,,,
BA,S1,,468,0.0976,0.0488,,,,,,,
BA,S1,,477,0.0551,0.0529,,,,,,,
BA,S1,,478,0.1698,0.1254,,,,,,,
BA,S1,,479,0.0862,0.0482,,,,,,,
BA,S1,,480,0.0367,0.031,,,,,,,
BA,S1,,489,0.0635,0.0492,,,,,,,
BA,S1,,490,0.1565,0.1528,,,,,,,
BA,S1,,491,0.1695,0.1127,,,,,,,
BA,S1,,492,0.0552,0.0488,,,,,,,
BA,S1,,505,0.1284,0.043,,,,,,,
BA,S1,,506,0.0125,0.0278,,,,,,,
BA,S1,,507,0.0315,0.0045,,,,,,,
BA,S1,,508,0.0881,0.0571,,,,,,,
BA,S1,,517,0.0896,0.0316,,,,,,,
BA,S1,,518,0.0439,0.0168,,,,,,,
BA,S1,,519,0.1208,0.0757,,,,,,,
BA,S1,,520,0.1417,0.1111,,,,,,,
BA,S1,,525,0.0859,0.0469,,,,,,,
BA,S1,,526,0.1623,0.0796,,,,,,,
BA,S1,,527,0.1364,0.0918,,,,,,,
BA,S1,,528,0.1416,0.0935,,,,,,,
BA,S1,,537,0.1258,0.1055,,,,,,,
BA,S1,,538,0.0163,0.0104,,,,,,,
BA,S1,,539,0.0861,0.1072,,,,,,,
BA,S1,,540,0.0053,0.0043,,,,,,,
BA,S1,,549,0.0617,0.051,,,,,,,
BA,S1,,550,0.1918,0.1354,,,,,,,
BA,S1,,551,0.0564,0.03,,,,,,,
BA,S1,,552,0.0105,0.0052,,,,,,,
BA,S1,,561,0.1356,0.1483,,,,,,,
BA,S1,,562,0.0900,0.0764,,,,,,,
BA,S1,,563,0.0880,0.0859,,,,,,,
BA,S1,,564,0.1691,0.1033,,,,,,,
BA,S1,,573,0.2156,0.2704,,,,,,,
BA,S1,,574,0.0768,0.0531,,,,,,,
BA,S1,,575,0.1088,0.0323,,,,,,,
BA,S1,,576,0.1119,0.0679,,,,,,,
BA,S1,,581,0.0736,0.0472,,,,,,,
BA,S1,,582,0.0765,0.0559,,,,,,,
BA,S1,,583,0.2287,0.1767,,,,,,,
BA,S1,,584,0.0636,0.0262,,,,,,,
BA,S1,,593,0.2852,0.3645,,,,,,,
BA,S1,,594,0.1544,0.128,,,,,,,
BA,S1,,595,,,DEAD,,,,,,
BA,S1,,596,0.1499,0.0896,,,,,,,
BA,S3,,909,0.0796,0.0266,,,,,,,
BA,S3,,910,0.0805,0.0672,,,,,,,
BA,S3,,911,0.0308,0.0098,,,,,,,
BA,S3,,912,0.1149,0.0586,,,,,,,
BA,S3,,921,0.0734,0.021,,,,,,,
BA,S3,,922,0.0492,0.03,,,,,,,
BA,S3,,923,0.0926,0.0344,,,,,,,
BA,S3,,924,0.0558,0.0347,,,,,,,
BA,S3,,933,0.0278,0.0104,,,,,,,
BA,S3,,934,0.0973,0.1386,,,,,,,
BA,S3,,935,0.1099,0.0676,,,,,,,
BA,S3,,936,0.0656,0.0337,,,,,,,
BA,S3,,945,0.0692,0.059,,,,,,,
BA,S3,,946,0.0868,0.1418,,,,,,,
BA,S3,,947,0.2240,0.1195,,,,,,,
BA,S3,,948,0.1341,0.1025,,,,,,,
BA,S3,,957,0.1400,0.096,,,,,,,
BA,S3,,958,0.0890,0.0233,,,,,,,
BA,S3,,959,0.0412,0.222,,,,,,,
BA,S3,,960,0.0245,0.0135,,,,,,,
BA,S3,,969,0.1042,0.0923,,,,,,,
BA,S3,,970,0.0709,0.0662,,,,,,,
BA,S3,,971,0.0857,0.0393,,,,,,,
BA,S3,,972,0.1131,0.0589,,,,,,,
BA,S3,,985,0.0534,0.0194,,,,,,,
BA,S3,,986,0.1235,0.0658,,,,,,,
BA,S3,,987,0.0601,0.0456,,,,,,,
BA,S3,,988,0.0501,0.0187,,,,,,,
BA,S3,,997,0.1271,0.1122,,,,,,,
BA,S3,,998,0.1746,0.0713,,,,,,,
BA,S3,,999,0.1139,0.0579,,,,,,,
BA,S3,,1000,0.0190,0.0123,,,,,,,
BA,S3,,1001,0.1081,0.0864,,,,,,,
BA,S3,,1002,0.1415,0.085,,,,,,,
BA,S3,,1003,0.0501,0.0381,,,,,,,
BA,S3,,1004,,,DEAD,,,,,,
BA,S3,,1013,0.0918,0.0517,,,,,,,
BA,S3,,1014,0.0286,0.0083,,,,,,,
BA,S3,,1015,,,DEAD,,,,,,
BA,S3,,1016,0.1038,0.077,,,,,,,
BA,S3,,1029,0.0358,0.013,,,,,,,
BA,S3,,1030,0.0635,0.0295,,,,,,,
BA,S3,,1031,0.0960,0.0587,,,,,,,
BA,S3,,1032,0.0901,0.0515,,,,,,,
BA,S3,,1041,0.0190,0.0022,,,,,,,
BA,S3,,1042,0.0725,0.0783,,,,,,,
BA,S3,,1043,0.0614,0.0414,,,,,,,
BA,S3,,1044,0.0684,0.0744,,,,,,,
BA,S3,,1053,0.0096,0.0066,,,,,,,
BA,S3,,1054,0.0672,0.0354,,,,,,,
BA,S3,,1055,0.0873,0.333,,,,,,,
BA,S3,,1056,0.0821,0.0373,,,,,,,
BA,S3,,1065,0.0645,0.0378,,,,,,,
BA,S3,,1066,0.1162,0.1245,,,,,,,
BA,S3,,1067,0.1133,0.0391,,,,,,,
BA,S3,,1068,0.0542,0.04,,,,,,,
BA,S3,,1077,0.0981,0.0542,,,,,,,
BA,S3,,1078,0.0690,0.0338,,,,,,,
BA,S3,,1079,0.0537,0.0307,,,,,,,
BA,S3,,1080,0.0521,0.023,,,,,,,
BA,S3,,1089,0.0706,0.0278,,,,,,,
BA,S3,,1090,0.0277,0.0065,,,,,,,
BA,S3,,1091,0.1527,0.0824,,,,,,,
BA,S3,,1092,0.0950,0.0794,,,,,,,
BA,S3,,1101,0.0387,0.0274,,,,,,,
BA,S3,,1102,0.0707,0.0649,,,,,,,
BA,S3,,1103,0.1127,0.0923,,,,,,,
BA,S3,,1104,0.0940,0.0997,,,,,,,
BA,S3,,1113,0.0978,0.0261,,,,,,,
BA,S3,,1114,0.0636,0.0248,,,,,,,
BA,S3,,1115,0.0518,0.0725,,,,,,,
BA,S3,,1116,0.0912,0.0689,,,,,,,
BA,S3,,1125,0.1213,0.1608,,,,,,,
BA,S3,,1126,0.0534,0.0108,,,,,,,
BA,S3,,1127,0.0882,0.0532,,,,,,,
BA,S3,,1128,,0.0277,MISSING?,,,,,,
BA,S3,,1137,0.1126,0.0711,,,,,,,
BA,S3,,1138,0.1833,0.123,,,,,,,
BA,S3,,1139,0.0907,0.0429,,,,,,,
