Individual,PercN,PercC
1,1.55,27.80
3,1.52,30.59
4,2.10,31.87
9,1.46,35.81
12,1.57,21.96
14,2.29,35.14
15,2.07,29.37
18,1.40,30.17
19,1.00,23.14
22,1.21,40.76
26,0.89,23.91
31,1.73,18.40
34,1.13,38.97
38,1.09,31.05
46,2.18,36.84
47,1.12,40.13
49,0.84,24.34
51,0.07,2.00
58,1.11,39.97
59,0.82,25.28
63,0.93,28.97
66,1.82,29.36
68,1.38,18.98
74,1.63,20.47
76,0.73,33.80
79,1.54,22.14
80,1.34,26.10
81,1.26,37.51
82,0.61,31.58
85,0.94,41.63
87,0.65,32.40
89,0.85,20.96
94,0.83,39.04
98,0.94,30.86
100,0.55,27.59
107,1.26,33.10
108,0.93,40.49
109,2.02,45.51
110,2.27,40.48
111,1.11,25.77
118,1.26,40.21
119,1.04,39.71
122,0.70,33.49
123,0.91,31.26
124,1.86,47.00
125,3.50,37.31
129,0.83,40.52
132,1.28,41.75
134,0.35,30.68
135,0.88,32.91
136,0.97,24.63
139,1.13,26.52
144,0.87,37.49
146,0.62,40.19
151,1.42,36.99
153,1.04,37.15
155,0.82,37.26
156,1.15,42.32
159,0.95,27.87
165,0.89,40.34
166,0.92,39.94
168,0.89,36.96
169,2.04,44.27
172,0.61,37.88
177,1.23,22.16
179,1.13,42.34
180,0.89,35.94
187,1.06,26.88
192,1.02,39.18
201,0.52,21.37
203,0.75,27.38
207,2.50,45.11
208,0.90,35.11
212,1.63,25.26
213,0.70,34.64
216,0.88,36.06
217,2.38,42.94
218,2.49,35.65
226,0.89,39.95
227,1.09,41.28
231,0.53,35.16
232,0.33,25.87
238,0.91,40.45
243,0.77,24.76
247,3.25,38.90
249,1.02,41.03
250,1.43,40.46
252,0.95,41.15
258,2.03,28.37
261,2.43,44.28
263,0.91,39.38
265,0.73,25.38
266,0.76,36.00
268,0.76,35.03
269,1.60,26.92
274,1.07,41.17
275,1.01,39.83
277,0.23,28.36
278,1.65,44.34
283,0.84,33.22
284,1.90,23.39
285,1.23,39.90
295,2.09,33.46
296,3.20,37.68
297,1.10,35.90
299,1.82,39.99
300,1.45,41.60
301,1.75,36.74
303,1.55,41.75
307,3.84,41.54
308,4.27,43.83
309,2.50,30.93
310,2.62,42.07
313,1.64,41.42
317,3.05,44.27
319,3.38,43.63
322,2.81,38.14
325,2.07,45.07
328,1.66,44.68
329,4.15,46.06
331,3.56,47.39
332,3.69,46.42
333,2.83,43.47
336,3.00,42.64
339,1.51,43.12
342,3.60,44.33
344,2.72,36.10
345,3.02,44.17
346,2.19,41.46
348,2.77,41.67
349,1.73,42.76
350,1.73,45.36
355,3.48,37.29
357,3.10,42.64
359,2.81,42.13
361,1.43,46.39
367,3.21,39.86
369,2.44,42.85
371,1.97,41.18
373,1.41,42.12
377,3.13,43.47
379,3.36,42.19
381,2.45,43.38
383,2.59,46.17
386,2.16,45.10
388,1.96,46.53
389,3.28,27.92
391,2.81,20.39
393,2.77,44.83
395,3.11,43.44
397,1.75,46.64
400,1.86,45.17
401,2.63,38.43
403,3.11,42.15
404,3.34,24.79
405,2.29,51.04
407,2.09,42.36
409,1.78,43.53
411,1.45,48.62
415,3.19,36.34
417,1.76,42.27
419,1.99,17.04
421,1.92,45.82
424,1.63,46.14
425,3.33,46.18
427,2.90,37.75
428,3.32,39.35
429,2.46,41.19
430,2.60,42.61
432,2.53,42.41
433,1.55,40.39
435,1.65,44.27
439,3.05,39.79
