Individual,Soil_NO3,Soil_NH4
1,<0.1,1.8
2,<0.1,1.2
3,<0.1,1.6
4,<0.1,1
7,<0.1,1.6
9,<0.1,1
12,<0.1,0.6
13,<0.1,1.5
14,<0.1,1.4
15,<0.1,0.9
16,<0.1,1
18,0.1,1.5
19,<0.1,1.3
22,<0.1,1.6
26,<0.1,0.7
27,<0.1,1.1
29,<0.1,1.4
30,0.2,1.7
31,<0.1,1.3
32,<0.1,1.1
34,<0.1,1.5
38,<0.1,0.8
41,0.3,1.3
42,<0.1,1
43,<0.1,1.5
44,<0.1,1.4
46,<0.1,1.2
47,<0.1,1.1
49,<0.1,1
51,<0.1,1
52,<0.1,1.3
53,<0.1,1.5
54,<0.1,1.2
55,0.4,1.4
56,<0.1,1.3
58,<0.1,1.2
59,<0.1,1.6
63,<0.1,1.1
65,<0.1,1.6
66,0.1,1.3
67,<0.1,1.3
68,0.1,1.5
70,<0.1,1.2
72,<0.1,0.8
74,0.5,1.4
76,0.1,1.4
77,0.1,1.7
78,0.1,1.7
79,0.1,2.1
80,<0.1,1.2
81,<0.1,1.8
82,0.3,1.6
84,0.2,1.2
85,0.1,1.2
87,0.2,2
89,0.4,4
90,<0.1,3.2
91,0.1,2.8
92,0.2,3.2
94,0.2,3.2
96,0.2,2.3
98,0.2,2.7
100,0.1,2.7
101,0.2,2.8
102,0.2,3.6
103,0.2,3.2
106,1.1,1.5
107,0.4,1.2
108,0.4,0.9
109,0.4,1
110,0.3,1.7
111,0.4,1.7
116,0.4,2.6
118,0.2,1.6
119,0.5,1.1
122,0.6,1.5
123,0.6,1.1
124,<0.1,1.6
125,<0.1,1
129,<0.1,1.5
132,<0.1,1.1
134,<0.1,1.2
135,<0.1,1.2
136,<0.1,1.4
137,<0.1,1
138,<0.1,1.3
139,<0.1,1
142,<0.1,1.2
144,0.3,1
151,<0.1,1.3
153,<0.1,0.9
155,<0.1,0.9
156,<0.1,10.5
165,<0.1,0.6
166,<0.1,1.3
168,<0.1,1.1
169,<0.1,1.2
177,<0.1,1.2
179,<0.1,0.8
180,<0.1,1.1
191,<0.1,1
192,<0.1,1.9
207,<0.1,1.3
208,<0.1,1.3
212,<0.1,1.5
217,<0.1,1.3
218,0.2,1.1
224,<0.1,0.8
226,0.1,1.1
227,0.2,1.4
231,0.7,2.1
235,0.2,2.3
238,0.2,2.3
247,0.1,1.2
248,0.2,1.4
249,0.3,1.2
250,0.1,1.7
252,0.2,1
258,0.2,1.1
261,0.1,1.2
263,0.3,1.3
269,0.2,1.3
272,0.2,1.1
274,0.2,1.7
275,0.2,2
276,0.2,1
282,0.2,1.2
283,0.3,1.6
284,0.1,0.8
285,<0.1,2
291,0.1,1.6
295,0.2,1.6
296,1,2.6
297,0.6,1.7
299,0.4,1.8
300,0.6,1.2
301,0.6,1.7
303,0.6,1.5
305,0.6,1.7
307,0.6,2.2
308,0.5,2.6
309,0.8,2.3
310,0.7,2.9
313,0.4,2.6
315,0.7,1.6
317,0.4,2.3
319,0.5,1.6
322,0.5,1.9
325,0.5,1.6
328,0.5,1.2
329,0.7,1.7
331,0.5,1.9
332,0.5,1.9
333,0.5,1.9
336,0.8,1.6
337,0.6,1.5
339,0.6,1.1
342,0.5,2.5
344,0.5,1.5
345,0.5,1.4
346,0.5,1.5
348,0.5,1.6
349,0.5,1.4
350,0.5,1.3
355,0.5,1.6
357,0.4,1.7
359,0.5,1.7
361,0.5,1.6
363,0.4,1.5
366,0.5,1.7
367,0.4,1.5
369,0.4,1.8
371,0.5,1.2
373,0.4,1.8
376,0.6,2.3
377,0.5,1.8
379,0.7,1.5
381,0.5,1.6
383,0.6,1.2
386,0.5,1.3
388,0.5,2.3
389,0.5,1.5
391,0.5,1.5
393,0.5,1.8
395,0.6,1.2
397,0.6,1.2
400,0.6,1.4
401,0.5,2
403,0.5,2.4
404,0.5,2.8
405,0.5,1.8
407,0.5,1.7
409,0.5,2.3
411,0.5,1.4
415,0.5,1.5
417,0.5,2.1
419,0.5,1.5
421,0.5,2
424,0.9,1.5
425,0.4,1.3
427,0.4,1
428,0.2,1.6
429,0.2,1.3
430,0.3,1
432,0.3,1.2
433,0.3,0.9
435,0.2,1.6
439,0.3,3.3
441,0.1,1.3
444,0.3,1.6
445,0.3,1.5
447,0.2,0.8
450,0.4,1.3
452,0.3,1.1
453,0.3,1.4
455,0.4,1.7
458,0.3,1.2
462,0.1,1.2
464,0.4,1.3
465,0.5,1.8
468,0.7,1.5
469,0.5,1.4
470,0.3,1.3
472,0.4,1.4
473,0.5,1.4
474,0.5,2.2
478,0.3,1.6
482,0.5,1.5
483,0.7,1.3
486,0.7,1.1
488,0.3,1.7
490,0.3,1.3
491,0.4,1.3
494,0.5,1.2
496,0.4,1.4
498,0.3,1.3
499,0.5,1.8
501,0.4,1.3
503,0.4,1.6
505,0.5,1.7
510,0.4,1.9
511,0.7,2.2
513,0.3,1.5
514,0.5,2.1
517,0.4,1.6
518,0.4,1.8
519,0.4,1.9
522,0.5,1.3
524,0.4,1.9
527,0.3,1.5
528,0.3,1.7
529,0.4,0.9
530,0.1,1
535,0.2,2.1
541,0.1,1
543,0.2,0.9
545,0.3,1.6
547,0.4,0.8
549,0.2,1.3
550,0.2,1.1
551,0.4,0.8
553,0.4,1.3
555,0.1,1.5
557,0.9,2.4
559,0.5,1.9
561,0.5,1.7
564,0.4,1.9
566,0.4,1.7
569,0.5,1.8
572,0.5,1.8
573,0.6,2.6
574,0.5,1.6
575,0.4,2.5
576,0.3,1.8
577,0.5,2.9
579,0.5,2.9
581,0.6,3.4
582,0.6,1.9
583,0.6,2.5
584,0.6,1.5
587,0.4,2.1
589,0.5,1.3
590,0.4,1.7
592,0.6,1.7
593,0.4,1.2
594,0.8,1.8
597,0.6,1.5
598,0.7,1.7
600,0.5,1.1
609,0.5,1.1
630,0.6,1.7
631,0.7,1.8
658,0.6,1.2
680,0.5,1.8
714,0.5,1.5
716,0.5,1.8
761,0.4,1.8
811,0.6,1.9
835,0.6,1.3
836,0.5,1.3
850,0.5,1.7
851,0.6,1.3
859,0.5,1.3
894,0.5,1.7
896,0.6,1.8
901,0.6,1.8
906,0.5,2.5
907,0.8,1.5
909,0.6,1.3
913,0.6,1.6
914,0.5,1.5
916,0.7,1.9
917,0.5,2.4
920,0.7,3
927,0.5,2.1
929,0.5,2.2
930,0.6,1.9
932,0.5,2.5
934,0.6,2.2
937,0.6,2.1
940,0.6,1.6
942,0.6,1.9
944,0.6,2
945,0.6,2.5
946,0.5,1.5
950,0.6,2
951,0.6,1.9
954,0.6,1.8
956,0.7,2.2
957,0.9,2.8
959,0.7,1.8
966,0.7,1.7
967,0.6,1.5
970,0.6,1.6
971,0.5,2.5
973,0.5,1.1
974,0.5,2.1
976,0.5,1.4
978,0.6,1.6
982,1,2
984,0.5,1.1
985,0.5,1.8
987,0.5,1.2
989,0.5,1.9
990,0.6,1.7
994,0.5,2.4
995,0.4,2
998,0.5,2
999,0.5,2.1
1001,0.5,1.4
1002,0.5,2.5
1005,0.7,2
1007,0.4,2.1
1009,0.4,1.2
1011,0.5,1.5
1012,0.5,1.5
1017,0.4,1.8
1018,0.4,2.2
1020,0.4,2.2
1021,0.5,1.4
1022,0.5,1.3
1023,0.5,1.4
1026,0.5,1.5
1028,0.5,1.4
1029,0.4,1.1
1030,0.4,1.8
1032,0.5,1.1
1038,0.5,2
1040,0.5,1.6
1042,0.4,1.3
1043,0.6,1.8
1045,0.6,1.3
1046,0.6,1.3
1047,0.6,1.1
1048,0.6,2.3
1051,0.5,1.3
1052,0.5,1.7
1054,0.6,1.9
1055,0.5,1.3
1062,0.5,1.6
1064,0.4,1.4
1066,0.5,1.6
1067,0.7,1.8
1070,0.6,1.4
1075,0.8,2.2
1077,0.5,1
1079,0.5,2
1083,0.5,1.3
1084,0.8,2.4
1085,0.5,2.2
1087,0.5,1.7
1089,0.4,1.5
1091,0.5,1.3
1093,0.4,1.2
1094,0.4,1.1
1095,0.8,1.6
1096,0.7,1.7
1098,0.5,2.4
1100,0.5,2.4
1101,0.4,2
1102,0.4,1.7
1103,0.3,1.8
1104,0.3,2.4
1105,0.4,1.5
1106,0.5,1.4
1108,0.4,2.4
1110,0.4,1.4
1111,0.5,1.4
1112,0.4,1.9
1122,0.4,2.5
1124,0.5,2.4
1125,0.4,1.9
1127,0.4,2
1129,0.5,1.3
1130,0.5,1.6
1131,0.4,1
1134,0.5,1.6
1136,0.7,1.7
1137,0.6,2.9
1138,0.5,1.7
1139,0.4,2.5
1142,0.4,3.2
1145,0.4,2.9
1146,0.4,1.7
1147,0.4,1.7
1149,0.4,2.2
1150,0.5,1.9
1151,0.5,1.2
1152,0.5,1.3
1153,0.4,1.5
1156,0.4,1
1158,0.4,1.2
1160,0.3,1.4
1161,0.6,2
1162,0.4,2.3
1165,0.3,1.2
1166,0.5,1.7
1170,0.6,1.6
1172,0.6,1.8
1173,0.6,1.9
1175,0.4,2.1
1176,0.4,1.7
1177,0.5,1.3
1180,0.4,0.6
1181,0.4,1.5
1183,0.4,1.1
1186,0.5,1.8
1188,0.4,1.9
1191,0.4,1.9
1192,0.3,2.4
1193,0.4,1.9
1195,0.5,2.6
1197,0.5,4.4
164,0.8,2.3
181,0.7,2.1
240,0.7,2
242,0.5,2.4
256,0.5,1.8
306,0.6,1.6
318,0.5,1.6
320,0.6,1.6
330,0.5,1.5
341,0.5,1.3
343,0.4,1.5
353,0.5,1.4
354,0.5,1.5
355,0.5,1.6
365,0.5,1.6
368,0.5,2.2
378,0.5,1.3
380,0.5,1.5
390,0.5,1.2
392,0.5,1.6
402,0.5,1.6
413,0.5,1.6
414,0.8,1.5
416,0.5,1.4
426,0.5,1.3
437,0.7,1.6
438,0.5,1.4
440,0.7,1.6
449,0.6,1.2
451,0.6,2.2
467,0.6,1.5
605,0.6,1.4
606,0.6,1.4
607,0.7,1.7
608,0.6,1.4
617,0.6,1.2
618,0.5,1.4
619,0.6,1.5
620,0.6,1.5
629,0.6,1.5
645,0.7,1.4
647,0.7,1.5
648,0.6,1.8
660,0.7,1.4
667,0.7,1.6
678,0.4,1.6
689,0.5,1.1
691,0.5,1.5
701,0.6,2
704,0.5,1.5
725,0.4,1.7
726,0.5,1.5
728,0.5,1.6
738,0.4,2
740,0.4,2
750,0.4,2.6
751,0.5,2.6
764,0.5,3.2
775,0.4,2.5
776,0.4,1.5
786,0.4,1.7
788,0.4,1.5
798,0.3,1.7
800,0.5,1.6
810,0.4,1.6
822,0.4,1.4
824,0.7,1.7
834,0.5,1.4
846,0.4,1.2
857,0.5,1.5
860,0.5,1.5
869,0.4,1.3
872,0.4,1.4
882,0.5,1.2
893,0.4,1.2
905,0.5,2.5
908,0.6,2.1
918,0.4,3.3
919,0.4,3.1
931,0.4,2
936,0.4,2
941,0.4,2
943,0.4,1.9
947,0.3,2.1
953,0.4,1.7
955,0.4,1.9
965,0.5,1.9
968,0.3,2.6
977,0.5,1.7
979,0.6,1.8
980,0.5,2
991,0.4,2.2
992,0.4,1.9
1006,0.5,2.3
1008,0.5,1.7
1019,0.4,1.9
1025,0.5,2
1027,0.5,2.6
1037,0.4,1.9
1039,0.5,2.9
1168,0.5,2.5
